section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2402,Soil and Water Conservation,00,,102,Soil Conservation,01,00,0101,के न्द्र प्रायोजित योजनाएं 9183,,प्रधानमंत्री कृ षि सिंचाई योजना-2.0 के अन्तर्गत वाटरशेड डेवलपमेन्ट कम्पोनेन्ट,27,Subsidy,6954.00,20224.00,16179.20,16850.00,2402.00.102.01.00.0101.27,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,5,false,मृदा तथा जल संरक्षण,,मृदा संरक्षण,सब्सिडी,false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2402,Soil and Water Conservation,00,,102,Soil Conservation,89,00,8901,के न्द्र प्रायोजित योजनाओं का संगत राज्यांश,,प्रधानमंत्री कृ षि सिंचाई योजना 2.0 के अन्तर्गत वाटरशेड डेवलपमेन्ट कम्पोनेन्ट,27,Subsidy,4636.00,,,,2402.00.102.89.00.8901.27,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,5,false,मृदा तथा जल संरक्षण,,मृदा संरक्षण,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2515,Other Rural Development Programmes,00,,800,Other Expenditure,03,00,0000,मण्डलीय विकास निगमों के छटनीशुदा कर्मचारियों के वेतन आदि का भुगतान,,,31,Grants-in-Aid - General,,87.63,70.10,100.00,2515.00.800.03.00.0000.31,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,5,false,अन्य ग्राम विकास कार्यक्रम,,अन्य व्यय,सहायता अनुदान - सामान्य (वेतन),false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,01,00,0102,के न्द्र प्रायोजित योजनाएँ 3994,,सरयू नहर परियोजना फे ज-III (के .50/रा.50-के .+ रा.) 3994-UP217,27,Subsidy,,14019.76,11215.81,1800.00,2705.00.800.01.00.0102.27,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,5,false,कमान क्षेत्र विकास,,अन्य व्यय,सब्सिडी,false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,01,00,0103,के न्द्र प्रायोजित योजनाएँ 3994,,अर्जुन सहायक परियोजना (के .50/रा.50-के .+ रा.),27,Subsidy,,1409.96,1127.97,64.62,2705.00.800.01.00.0103.27,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,5,false,कमान क्षेत्र विकास,,अन्य व्यय,सब्सिडी,false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,01,00,0104,के न्द्र प्रायोजित योजनाएँ 3994,,मॉर्डनाइजेशन ऑफ कमांड एरिया डेवलपमेंट एंड वाटर मैनेजमेंट (M-,27,Subsidy,,,,4267.00,2705.00.800.01.00.0104.27,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,5,false,कमान क्षेत्र विकास,,अन्य व्यय,सब्सिडी,false,new,BE 2026-27 amount present with no prior-year amounts in source row
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,03,00,0000,ग्रेटर शारदा सहायक कमाण्ड क्षेत्र विकास प्राधिकारी / परियोजना,,,01,Salaries,5088.56,6380.00,5104.00,5850.00,2705.00.800.03.00.0000.01,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,6,false,कमान क्षेत्र विकास,,अन्य व्यय,वेतन,false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,03,00,0000,ग्रेटर शारदा सहायक कमाण्ड क्षेत्र विकास प्राधिकारी / परियोजना,,,03,Dearness Allowance,2600.22,3828.00,3062.40,3802.50,2705.00.800.03.00.0000.03,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,6,false,कमान क्षेत्र विकास,,अन्य व्यय,मंहगाई भत्ता,false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,03,00,0000,ग्रेटर शारदा सहायक कमाण्ड क्षेत्र विकास प्राधिकारी / परियोजना,,,04,Travel Expenses,21.28,20.00,20.00,31.00,2705.00.800.03.00.0000.04,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,6,false,कमान क्षेत्र विकास,,अन्य व्यय,यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Land Development & Water Resources),012,2705,Command Area Development,00,,800,Other Expenditure,03,00,0000,ग्रेटर शारदा सहायक कमाण्ड क्षेत्र विकास प्राधिकारी / परियोजना,,,05,Transfer Travel Expenses,10.57,10.30,10.30,11.00,2705.00.800.03.00.0000.05,2026-27,Uttar Pradesh/Grants/012 Agriculture & Allied Dept (Land Development & Water Resources).pdf,6,false,कमान क्षेत्र विकास,,अन्य व्यय,स्थानान्तरण यात्रा व्यय,false,,
