section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Agriculture),011,2013,Council of Ministers,00,,105,Manures and Fertilisers,03,00,0000,कृ षि मंत्री द्रारा विवेकाधीन अनुदान,,,42,Other Expenditure,,0.10,0.08,0.10,2013.00.105.03.00.0000.42,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,8,false,मंत्रि परिषद्,,मंत्रियों द्वारा विवेकाधीन अनुदान,अन्य व्यय,false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2049,Interest Payments,03,अल्प बचतों,117,Dairy Development,03,00,0000,कृ षि विश्वाविद्यालयों के दिनांक 31-03-2019 तक देय अवशेष नियोक्ता अंशदान /,,,20,Grants-in-Aid - General (Non-Salary),,200.00,160.00,,2049.03.117.03.00.0000.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,8,true,ब्याज अदायगियां,अल्प बचतों,निर्धारित अंशदायी पेंशन स्कीम पर ब्याज,सहायता अनुदान - सामान्य (गैर वेतन),false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Agriculture),011,2049,Interest Payments,03,अल्प बचतों,117,Dairy Development,04,00,0000,कृ षि विश्वाविद्यालयों के एन.पी.एस. से आच्छादित कर्मचारियों का अभिदाता अंशदान,,,20,Grants-in-Aid - General (Non-Salary),,100.00,80.00,,2049.03.117.04.00.0000.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,8,true,ब्याज अदायगियां,अल्प बचतों,निर्धारित अंशदायी पेंशन स्कीम पर ब्याज,सहायता अनुदान - सामान्य (गैर वेतन),false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0302,राज्य सरकार का अंशदान,,उ 0 प्र 0 कृ षि विश्वविद्यालय कानपुर के शिक्षकों/शिक्षणेत्तर कर्मचारियों के लिये,20,Grants-in-Aid - General (Non-Salary),336.86,336.86,269.49,574.57,2071.01.117.03.00.0302.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0303,राज्य सरकार का अंशदान,,उ 0 प्र 0 कृ षि विश्वविद्यालय अयोध्या के शिक्षकों/शिक्षणेत्तर कर्मचारियों के लिये,20,Grants-in-Aid - General (Non-Salary),262.28,250.00,200.00,350.00,2071.01.117.03.00.0303.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0304,राज्य सरकार का अंशदान,,उ 0 प्र 0 कृ षि विश्वविद्यालय अयोध्या के पशुचिकित्सा विज्ञान एवं पशुपालन,20,Grants-in-Aid - General (Non-Salary),93.36,110.00,88.00,150.00,2071.01.117.03.00.0304.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0305,राज्य सरकार का अंशदान,,इलाहाबाद एग्रीकल्चर इंस्टीटयूट के शिक्षकों / शिक्षणेत्तर कर्मचारियों के लिये,20,Grants-in-Aid - General (Non-Salary),197.77,319.28,255.42,319.28,2071.01.117.03.00.0305.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0306,राज्य सरकार का अंशदान,,कृ षि एवं प्रौद्योगिक विश्वविद्यालय मोदीपुरम मेरठ के शिक्षकों/शिक्षणेत्तर,20,Grants-in-Aid - General (Non-Salary),249.54,625.00,500.00,625.00,2071.01.117.03.00.0306.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0307,राज्य सरकार का अंशदान,,अम्बेडकर नगर में महामाया कृ षि अभियंत्रण एवं तकनीकी महाविद्यालय के शिक्षकों,20,Grants-in-Aid - General (Non-Salary),8.97,10.00,8.00,15.00,2071.01.117.03.00.0307.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Agriculture),011,2071,Pensions and Other Retirement Benefits,01,सिविल,117,Dairy Development,03,00,0308,राज्य सरकार का अंशदान,,कृ षि विश्वविद्यालय बांदा के शिक्षकों / शिक्षणेत्तर कर्मचारियों के लिये नियोक्ता,20,Grants-in-Aid - General (Non-Salary),217.16,300.12,240.10,300.12,2071.01.117.03.00.0308.20,2026-27,Uttar Pradesh/Grants/011 Agriculture & Allied Dept (Agriculture).pdf,9,false,पेंशन तथा अन्य सेवा निवृत्ति हित लाभ,सिविल,निर्धारित अंशदायी पेंशन स्कीम के लिए सरकारी अंशदान,सहायता अनुदान - सामान्य (गैर वेतन),false,,
