section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,01,Salaries,644.95,1263.94,1011.15,1163.94,2405.00.001.03.00.0000.01,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,वेतन,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,03,Dearness Allowance,334.13,758.36,606.69,756.56,2405.00.001.03.00.0000.03,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,मंहगाई भत्ता,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,04,Travel Expenses,3.50,8.00,8.00,8.00,2405.00.001.03.00.0000.04,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,05,Transfer Travel Expenses,3.21,5.00,5.00,5.00,2405.00.001.03.00.0000.05,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,स्थानान्तरण यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,06,Other Allowances,0.21,5.00,4.00,5.00,2405.00.001.03.00.0000.06,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,अन्य भत्ते,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,08,Office Expenses,21.21,40.00,40.00,40.00,2405.00.001.03.00.0000.08,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,कार्यालय व्यय,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,09,Electricity Charges,32.51,35.00,35.00,35.00,2405.00.001.03.00.0000.09,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,विद्युत देय,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,10,Water Tax / Water Charges,5.41,10.00,10.00,10.00,2405.00.001.03.00.0000.10,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,जलकर / जल प्रभार,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,11,Stationery and Printing of Forms,3.62,10.00,10.00,10.00,2405.00.001.03.00.0000.11,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,लेखन सामग्री और फार्मों की छपाई,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,12,Office Furniture and Equipment,2.00,2.00,2.00,2.00,2405.00.001.03.00.0000.12,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,कार्यालय फर्नीचर एवं उपकरण,false,,
Revenue,Agriculture & Allied Dept (Fisheries),017,2405,Fisheries,00,,001,Direction and Administration,03,00,0000,अधिष्ठान,,,13,Telephone Expenses,1.07,6.00,6.00,6.00,2405.00.001.03.00.0000.13,2026-27,Uttar Pradesh/Grants/017 Agriculture & Allied Dept (Fisheries).pdf,6,false,मछली पालन,,निदेशन तथा प्रशासन,टेलीफोन पर व्यय,false,,
