section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,01,Salaries,876.44,1113.95,891.16,1113.95,2401.00.001.03.00.0000.01,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,वेतन,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,02,Wages,9.90,10.00,10.00,10.00,2401.00.001.03.00.0000.02,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,मजदूरी,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,03,Dearness Allowance,452.75,668.37,534.70,724.07,2401.00.001.03.00.0000.03,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,मंहगाई भत्ता,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,04,Travel Expenses,6.23,9.00,9.00,9.00,2401.00.001.03.00.0000.04,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,05,Transfer Travel Expenses,0.94,1.50,1.50,1.50,2401.00.001.03.00.0000.05,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,स्थानान्तरण यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,06,Other Allowances,0.27,0.15,0.12,0.15,2401.00.001.03.00.0000.06,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,अन्य भत्ते,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,07,Honorarium,0.18,1.00,1.00,1.00,2401.00.001.03.00.0000.07,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,मानदेय,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,08,Office Expenses,14.95,15.00,15.00,15.00,2401.00.001.03.00.0000.08,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,कार्यालय व्यय,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,09,Electricity Charges,40.00,40.00,40.00,40.00,2401.00.001.03.00.0000.09,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,विद्युत देय,false,,
Revenue,Agriculture & Allied Dept (Horticulture & Sericulture Development),010,2401,Crop Husbandry,00,,001,Direction and Administration,03,00,0000,के न्द्रीय निदेशालय,,,10,Water Tax / Water Charges,10.49,15.00,15.00,15.00,2401.00.001.03.00.0000.10,2026-27,Uttar Pradesh/Grants/010 Agriculture & Allied Dept (Horticulture & Sericulture Development).pdf,6,false,फसल कृ षि कर्म,,निदेशन तथा प्रशासन,जलकर / जल प्रभार,false,,
