section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2013,Council of Ministers,00,,105,Manures and Fertilisers,03,00,0000,पशुधन मंत्री द्वारा विवेकाधीन अनुदान,,,42,Other Expenditure,,0.20,0.15,0.20,2013.00.105.03.00.0000.42,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,मंत्रि परिषद्,,मंत्रियों द्वारा विवेकाधीन अनुदान,अन्य व्यय,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,01,Salaries,56197.87,90662.11,72529.69,90662.11,2403.00.001.03.00.0000.01,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,वेतन,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,02,Wages,58.12,60.00,60.00,60.00,2403.00.001.03.00.0000.02,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,मजदूरी,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,03,Dearness Allowance,29232.63,54397.27,43517.82,58930.37,2403.00.001.03.00.0000.03,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,मंहगाई भत्ता,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,04,Travel Expenses,48.24,60.00,60.00,60.00,2403.00.001.03.00.0000.04,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,05,Transfer Travel Expenses,263.22,10.00,10.00,10.00,2403.00.001.03.00.0000.05,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,स्थानान्तरण यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,06,Other Allowances,50.54,25.00,20.00,25.00,2403.00.001.03.00.0000.06,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,अन्य भत्ते,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,07,Honorarium,,3.00,3.00,3.00,2403.00.001.03.00.0000.07,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,मानदेय,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,08,Office Expenses,10.44,16.44,16.44,16.44,2403.00.001.03.00.0000.08,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,कार्यालय व्यय,false,,
Revenue,Agriculture & Allied Dept (Animal Husbandry),015,2403,Animal Husbandry,00,,001,Direction and Administration,03,00,0000,निदेशालय,,,09,Electricity Charges,576.27,600.00,600.00,600.00,2403.00.001.03.00.0000.09,2026-27,Uttar Pradesh/Grants/015 Agriculture & Allied Dept (Animal Husbandry).pdf,6,false,पशु पालन,,निदेशन तथा प्रशासन,विद्युत देय,false,,
