section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Rural Development),013,2013,Council of Ministers,00,,105,Manures and Fertilisers,03,00,0000,ग्राम्य विकास मंत्री द्वारा विवेकाधीन अनुदान,,,42,Other Expenditure,,0.20,0.15,0.20,2013.00.105.03.00.0000.42,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,7,false,मंत्रि परिषद्,,मंत्रियों द्वारा विवेकाधीन अनुदान,अन्य व्यय,false,,
Revenue,Agriculture & Allied Dept (Rural Development),013,2216,Housing,03,ग्रामीण आवास,800,Other Expenditure,02,00,0000,उत्तर प्रदेश ग्रामीण आवास परिषद द्वारा प्रधानमंत्री आवास योजना (ग्रामीण) हेतु वित्तीय,,,20,Grants-in-Aid - General (Non-Salary),13436.21,11800.00,9440.00,9957.00,2216.03.800.02.00.0000.20,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,7,false,आवास,ग्रामीण आवास,अन्य व्यय,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Rural Development),013,2216,Housing,03,ग्रामीण आवास,800,Other Expenditure,03,00,0000,उत्तर प्रदेश ग्रामीण आवास परिषद द्वारा प्रधानमंत्री आवास योजना (ग्रामीण) हेतु हुडको से,,,20,Grants-in-Aid - General (Non-Salary),20235.49,20300.00,16240.00,20236.00,2216.03.800.03.00.0000.20,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,7,false,आवास,ग्रामीण आवास,अन्य व्यय,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,102,Soil Conservation,02,00,0201,राष्ट्रीय ग्रामीण आजीविका मिशन,,स्वर्ण जयन्ती ग्राम स्वरोजगार योजना (जिला योजना) (के .60/रा.40-के .+रा.),27,Subsidy,,,,345909.87,2501.06.102.02.00.0201.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,7,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,राष्ट्रीय ग्रामीण आजीविका मिशन,सब्सिडी,false,new,BE 2026-27 amount present with no prior-year amounts in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,102,Soil Conservation,02,00,0203,राष्ट्रीय ग्रामीण आजीविका मिशन,,महिला किसान सशक्तीकरण परियोजना (एम 0 के 0 एस 0 पी0) (के .60/रा.40-,27,Subsidy,,,,9666.56,2501.06.102.02.00.0203.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,7,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,राष्ट्रीय ग्रामीण आजीविका मिशन,सब्सिडी,false,new,BE 2026-27 amount present with no prior-year amounts in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,102,Soil Conservation,02,00,0204,राष्ट्रीय ग्रामीण आजीविका मिशन,,स्टार्टअप विलेज एन्टरप्रोन्योरशिप प्रोग्राम (एस 0 पी0 ई 0 पी0) (के .60/रा.40-,27,Subsidy,,,,7134.62,2501.06.102.02.00.0204.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,राष्ट्रीय ग्रामीण आजीविका मिशन,सब्सिडी,false,new,BE 2026-27 amount present with no prior-year amounts in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,102,Soil Conservation,02,00,0205,राष्ट्रीय ग्रामीण आजीविका मिशन,,रूरल सेल्फ इमलॉयमेंट ट्रेनिंग इंस्‍टीट्यूट (आरसेटी) (के .100/रा.0-के .),27,Subsidy,,,,7073.42,2501.06.102.02.00.0205.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,राष्ट्रीय ग्रामीण आजीविका मिशन,सब्सिडी,false,new,BE 2026-27 amount present with no prior-year amounts in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,102,Soil Conservation,02,00,0206,राष्ट्रीय ग्रामीण आजीविका मिशन,,दीन दयाल उपाध्याय ग्रामीण कौशल्य योजना,27,Subsidy,,,,26182.00,2501.06.102.02.00.0206.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,राष्ट्रीय ग्रामीण आजीविका मिशन,सब्सिडी,false,new,BE 2026-27 amount present with no prior-year amounts in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,02,00,9181,राष्ट्रीय ग्रामीण आजीविका मिशन 9181,,UP175,27,Subsidy,102318.39,394557.75,315646.20,,2501.06.800.02.00.9181.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,02,00,0203,राष्ट्रीय ग्रामीण आजीविका मिशन 9181,,महिला किसान सशक्तीकरण परियोजना (एम 0 के 0 एस 0 पी0) (के .60/रा.40-,27,Subsidy,,3398.40,2718.72,,2501.06.800.02.00.0203.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,02,00,0204,राष्ट्रीय ग्रामीण आजीविका मिशन 9181,,स्टार्टअप विलेज एन्टरप्रोन्योरशिप प्रोग्राम (एस 0 पी0 ई 0 पी0) (के .60/रा.40-,27,Subsidy,,13305.10,10644.08,,2501.06.800.02.00.0204.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,02,00,0205,राष्ट्रीय ग्रामीण आजीविका मिशन 9181,,रूरल सेल्फ इमलॉयमेंट ट्रेनिंग इंस्‍टीट्यूट (आरसेटी) (के .100/रा.0-के .) 9181-,27,Subsidy,,8268.00,6614.40,,2501.06.800.02.00.0205.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,02,00,0206,राष्ट्रीय ग्रामीण आजीविका मिशन 9181,,दीन दयाल उपाध्याय ग्रामीण कौशल्य योजना 9181-UP208,27,Subsidy,,32259.12,25807.30,,2501.06.800.02.00.0206.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,02,00,0207,राष्ट्रीय ग्रामीण आजीविका मिशन 9181,,नेशनल रूरल इकनॉमिक ट्रान्‍सफार्मेशन प्रोजेक्‍ट (एन 0 आर 0 ई 0 टी0 पी0),27,Subsidy,3881.10,,,,2501.06.800.02.00.0207.27,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,8,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सब्सिडी,false,discontinued,No BE 2026-27 amount in source row
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,03,00,0000,जिला ग्राम विकास अभिकरणों के सेवानिवृत्त कार्मिकों को ग्रेच्युटी का भुगतान,,,20,Grants-in-Aid - General (Non-Salary),1359.35,1300.00,1040.00,1100.00,2501.06.800.03.00.0000.20,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,9,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सहायता अनुदान - सामान्य (गैर वेतन),false,,
Revenue,Agriculture & Allied Dept (Rural Development),013,2501,Special Programmes for Rural Development,06,स्वरोजगार कार्यक्रम,800,Other Expenditure,04,00,0000,जिला ग्राम्य विकास अभिकरण प्रशासन,,,31,Grants-in-Aid - General,5466.00,6500.00,5200.00,6500.00,2501.06.800.04.00.0000.31,2026-27,Uttar Pradesh/Grants/013 Agriculture & Allied Dept (Rural Development).pdf,9,false,ग्राम विकास के लिये विशेष कार्यक्रम,स्वरोजगार कार्यक्रम,अन्य व्यय,सहायता अनुदान - सामान्य (वेतन),false,,
