section,ministry,demand_no,major_head,major_head_name,sub_major,sub_major_head_name,minor_head,minor_head_name,sub_head,detailed_head,unique_state_code,sub_head_name,detailed_head_name,unique_state_code_name,object_head,object_head_name,actuals_2024_25,be_2025_26,re_2025_26,be_2026_27,full_code,financial_year,source_pdf,source_page,charged,major_head_name_hi,sub_major_head_name_hi,minor_head_name_hi,object_head_name_hi,recovery_flag,gap_flag,gap_reason
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,01,Salaries,1719.98,2333.98,1867.18,2333.98,2404.00.001.03.00.0000.01,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,वेतन,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,03,Dearness Allowance,892.56,1400.39,1120.31,1517.09,2404.00.001.03.00.0000.03,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,मंहगाई भत्ता,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,04,Travel Expenses,9.86,10.00,10.00,10.00,2404.00.001.03.00.0000.04,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,05,Transfer Travel Expenses,6.89,8.00,8.00,8.00,2404.00.001.03.00.0000.05,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,स्थानान्तरण यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,06,Other Allowances,0.60,1.00,0.80,1.00,2404.00.001.03.00.0000.06,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,अन्य भत्ते,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,08,Office Expenses,8.70,8.00,8.00,8.00,2404.00.001.03.00.0000.08,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,कार्यालय व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,09,Electricity Charges,2.95,5.00,5.00,5.00,2404.00.001.03.00.0000.09,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,विद्युत देय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,10,Water Tax / Water Charges,0.03,1.00,1.00,1.00,2404.00.001.03.00.0000.10,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,जलकर / जल प्रभार,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,11,Stationery and Printing of Forms,2.87,3.00,3.00,3.00,2404.00.001.03.00.0000.11,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,लेखन सामग्री और फार्मों की छपाई,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,12,Office Furniture and Equipment,4.97,5.00,5.00,5.00,2404.00.001.03.00.0000.12,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,कार्यालय फर्नीचर एवं उपकरण,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,13,Telephone Expenses,1.83,2.00,2.00,2.00,2404.00.001.03.00.0000.13,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,टेलीफोन पर व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,15,Maintenance of Vehicles and Purchase of Petrol etc.,24.96,10.00,10.00,10.00,2404.00.001.03.00.0000.15,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,गाड़ियों का अनुरक्षण और पेट्रोल आदि की खरीद,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,16,Payment for Professional and Special Services,4.51,10.00,10.00,10.00,2404.00.001.03.00.0000.16,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,व्यावसायिक तथा विशेष सेवाओं के लिए भुगतान,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,17,"Rent, Rates and Taxes / Royalties",16.44,16.00,16.00,16.00,2404.00.001.03.00.0000.17,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,"किराया, उपशुल्क और कर-स्वामिस्व",false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,18,Publication,1.00,1.00,1.00,1.00,2404.00.001.03.00.0000.18,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,प्रकाशन,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,42,Other Expenditure,,0.10,0.08,0.10,2404.00.001.03.00.0000.42,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,अन्य व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,44,Travel and Other Incidental Expenses for Training,0.12,2.50,2.50,2.50,2404.00.001.03.00.0000.44,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,प्रशिक्षण हेतु यात्रा एवं अन्य प्रासंगिक व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,45,Leave Travel Expenses,0.48,1.00,1.00,1.00,2404.00.001.03.00.0000.45,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,अवकाश यात्रा व्यय,false,,
Revenue,Agriculture & Allied Dept (Dairy Development),016,2404,Dairy Development,00,,001,Direction and Administration,03,00,0000,सहकारी दुग्ध सप्लाई योजनायें,,,46,Purchase of Computer Hardware / Software,2.00,2.00,2.00,2.00,2404.00.001.03.00.0000.46,2026-27,Uttar Pradesh/Grants/016 Agriculture & Allied Dept (Dairy Development).pdf,5,false,डेरी विकास,,निदेशन तथा प्रशासन,कम्प्यूटर हार्डवेयर/साफ्टवेयर का क्रय,false,,
